Name,Value.lat,Value.lon,Value.address
"Ennismore, Petersboro, Ontario, Canada",44.4099602,-78.4317746,"Ennismore, Selwyn, Peterborough County, Central Ontario, Ontario, K0L 1T0, Canada"
"Forcester, Gloucestershire, , England",51.7250911,-2.3145133,"Frocester, Stroud, Gloucestershire, England, United Kingdom"
"Gloucester, Massachusetts Colony of the British Isles, Essex, England, United Kingdom",42.6153595,-70.6624608,"Gloucester, Essex County, Massachusetts, United States"
"Grenville, Argenteuil, Canada East (Quebec) ,: Deux Montagnes County , LOWER CANADA",45.6239736,-74.5993629,"Grenville, Argenteuil, Laurentides, Québec, J0V 1J0, Canada"
"Long Island City, Queens, New York, British Colonies",40.7455316,-73.9484995,"Long Island City, Queens, Queens County, City of New York, New York, 11109, United States"
"Lynn, Essex County, Massachusetts, British Colonial America",42.466763,-70.9494939,"Lynn, Essex County, Massachusetts, United States"
"Massachusetts, Massachusetts, USA",42.3788774,-72.032366,"Massachusetts, United States"
"Mendon, Worcester, Massachusetts Bay Colony, British Colonia, Herefordshire and Worcester, England, United Kingdom",42.1075708,-71.5535197,"Mendon, Worcester County, Massachusetts, United States"
"North Yarmouth, York, Maine, USA",43.8289389,-70.2487493,"North Yarmouth, Cumberland County, Maine, 04097, United States"
"Oyster Ponds, LI New York, USA",41.071401,-71.8918385,"Oyster Pond, Town of East Hampton, Suffolk County, New York, United States"
"Piscataway, Essex, New Jersey, USA",40.5464326,-74.4660542,"Piscataway Township, Middlesex County, New Jersey, United States"
"Preston City, New London County, Connecticut, British Colonial America",41.4915013,-72.1237666,"New London, Connecticut, 06382, United States"
"Southold Long Island, Suffolk, New York, USA",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Southold, Lewis, New York, USA",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Southold, Suffolk Co., Long Island, New York, USA",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Stepney, Middlesex, , England",51.5174023,-0.0462189,"Stepney, London Borough of Tower Hamlets, Greater London, England, E1 3DH, United Kingdom"
"Stepney, Middlesex, England",51.5174023,-0.0462189,"Stepney, London Borough of Tower Hamlets, Greater London, England, E1 3DH, United Kingdom"
"Thornbury, South Gloucestershire Unitary Authority, Gloucestershire, England",51.6078094,-2.5254942,"Thornbury, South Gloucestershire, West of England, England, United Kingdom"
"Warwick, Kent County, Rhode Island, British Colonies",41.6992717,-71.4586114,"Warwick, Kent County, Rhode Island, United States"
"Weathersfield, Hartford, Connecticut, United States",41.764582,-72.6908547,"Hartford, Capitol Planning Region, Connecticut, United States"
"West Hawkesbury, Prescott Co, Ontario, Canada",45.5362892,-74.6456987,"West Hawkesbury, Champlain, Prescott and Russell Counties, Eastern Ontario, Ontario, Canada"
"Wethersfield, Hartford, Connecticut Colony",41.7142665,-72.6525922,"Wethersfield, Capitol Planning Region, Connecticut, 06109, United States"
"Windsor, Hartford Co, Connecticut, USA",41.8525984,-72.6437022,"Windsor, Capitol Planning Region, Connecticut, United States"
"Windsor, Hartford County, Connecticut, United States of America",41.8525984,-72.6437022,"Windsor, Capitol Planning Region, Connecticut, United States"
"Yattenden, Berkshire, , England",52.6071742,1.7314845,"Great Yarmouth, Norfolk, England, United Kingdom"
"""Executed - Hanged"", Dorchester, Suffolk County, Massachusetts",42.2973205,-71.0744952,"Dorchester, Boston, Suffolk County, Massachusetts, United States"
"1654343, Ontario, Canada",50.000678,-86.000977,"Ontario, Canada"
"Abergavenny, , Monmouthshire, England",51.8213212,-3.0147935,"Abergavenny, Monmouthshire, Cymru / Wales, NP7 5NQ, United Kingdom"
"Allyn Point, Ledyard Center, New London, Connecticut, USA",41.4915013,-72.1237666,"New London, Connecticut, 06382, United States"
"Allyn's Point, Norwich, New London, Connecticut, USA",41.4915013,-72.1237666,"New London, Connecticut, 06382, United States"
"Apperly Manor, Gloucestershire, , England",51.7643786,-2.1880662,"Gloucestershire, England, United Kingdom"
"Ashford, Ashford Borough, Kent, England",51.148555,0.8722566,"Ashford, Kent, England, United Kingdom"
"Attleborough, Breckland Borough, Norfolk, England",52.5179648,1.0105931,"Attleborough, Breckland, Norfolk, England, United Kingdom"
"Bayonne, Hudson, New Jersey, Colonial America",40.6687141,-74.1143091,"Bayonne, Hudson County, New Jersey, 07002, United States"
"Bergen, Bergen, New Jersey Colony, Colonial America",40.9597161,-74.0494718,"Bergen Catholic High School, Oradell Avenue, Oradell, Bergen County, New Jersey, 07652, United States"
"Beverly, Essex, Massachusetts, British America",42.5489744,-70.8781883,"Beverly, Essex County, Massachusetts, United States"
"Braintree, Essex, Massachusetts, United States",42.2205956,-71.0041229,"Braintree, Norfolk County, Massachusetts, 02184, United States"
"Braintree, MA, Suffolk, England, United Kingdom",42.2205956,-71.0041229,"Braintree, Norfolk County, Massachusetts, 02184, United States"
"Braintree, Norfolk, Massachusetts, Colonial America",42.2205956,-71.0041229,"Braintree, Norfolk County, Massachusetts, 02184, United States"
"Branford,,New Haven,CONNECTICUT,BRITISH COLONIAL AMERICA,",41.3096707,-72.9300833,"Branford College, York Street, Downtown, Dixwell, New Haven, South Central Connecticut Planning Region, Connecticut, 06520, United States"
"Brimsfield, Gloucestershire, , England",51.8121951,-2.0894409,"Brimpsfield, Cotswold, Gloucestershire, England, United Kingdom"
"Brimsfield, Gloucs",51.8121951,-2.0894409,"Brimpsfield, Cotswold, Gloucestershire, England, United Kingdom"
"Brookhaven, Long Island, New York, USA",40.7792653,-72.9153827,"Town of Brookhaven, Suffolk County, New York, United States"
"Canaan Litchfield Connecticut, United States",41.747319,-73.1887243,"Litchfield, Northwest Hills Planning Region, Connecticut, United States"
"Canaan, Litchfield Co., Connecticut, USA",41.747319,-73.1887243,"Litchfield, Northwest Hills Planning Region, Connecticut, United States"
"Charleston, Suffolk, Massachusetts, United States",42.3778749,-71.0619957,"Charlestown, Boston, Suffolk County, Massachusetts, 02129, United States"
"Charlestown, Suffolk County, Massachusetts, Colonial America",42.3778749,-71.0619957,"Charlestown, Boston, Suffolk County, Massachusetts, 02129, United States"
"Berkshire now in Oxfordshire now, Oxfordshire, , England",51.4534889,-1.031873,"Berkshire, Reading, England, United Kingdom"
"Cicero, Onondago, NY, USA",43.1756235,-76.1193678,"Town of Cicero, Onondaga County, New York, United States"
"Concord, Litchfield, Connecticut, USA",41.747319,-73.1887243,"Litchfield, Northwest Hills Planning Region, Connecticut, United States"
"Count, Cork, Ireland",51.8985136,-8.4726423,"Cork, County Cork, Munster, Éire / Ireland"
"Darthmouth, Bristol, Massachusetts, USA",41.6386894,-70.9933545,"Dartmouth, Bristol County, Massachusetts, United States"
"Dartmouth, Bristol County, Massachusetts, Colonial America",41.6386894,-70.9933545,"Dartmouth, Bristol County, Massachusetts, United States"
"Derby, Derby Unitary Authority, Derbyshire, England",52.9212617,-1.4761491,"Derby, Derbyshire, East Midlands, England, DE1 2AA, United Kingdom"
"Dover, Straffordshire, England, United Kingdom",52.8057407,-2.1457252,"Dover view, Burleyfields, Derrington, Stafford, Staffordshire, England, ST16 1XL, United Kingdom"
"East Haddam, Middlesex County, Connecticut, Britich Colonial America",41.4528584,-72.4613331,"East Haddam, Lower Connecticut River Valley Planning Region, Connecticut, United States"
"East Haddam, Middlesex, Connecticut, Britich Colonial America",41.4528584,-72.4613331,"East Haddam, Lower Connecticut River Valley Planning Region, Connecticut, United States"
"East Hampton, Suffolk County, New York Colony, Colonial British America",40.9633868,-72.1847598,"Town of East Hampton, Suffolk County, New York, United States"
"East Hampton, Suffolk, New York Colony, Colonial British America",40.9633868,-72.1847598,"Town of East Hampton, Suffolk County, New York, United States"
"East Hartford or Glastonbury, Hartford, Connecticut,",41.767914,-72.644512,"East Hartford, Capitol Planning Region, Connecticut, United States"
"East Hartford, Hartford County, Connecticut, United States of America",41.767914,-72.644512,"East Hartford, Capitol Planning Region, Connecticut, United States"
"East Hartford, Hartford, Connecticut, Colonial America",41.767914,-72.644512,"East Hartford, Capitol Planning Region, Connecticut, United States"
"Eastbury Ch., Glastonbury, Hartford, Connecticut, USA",41.860376,-72.6031451,"East Windsor Hill, John Fitch Boulevard, East Windsor Hill, South Windsor, Capitol Planning Region, Connecticut, 06074, United States"
"Eastbury, Hartford, Hartford, Connecticut, USA",41.7046436,-72.5319099,"Old Eastbury Cemetery, 975, Glastonbury, Capitol Planning Region, Connecticut, 06033, United States"
"Eastington Churc, Gloucestershire, , England",51.7643786,-2.1880662,"Gloucestershire, England, United Kingdom"
"Eastingtonchurch, Gloucestershire, , England",51.7643786,-2.1880662,"Gloucestershire, England, United Kingdom"
"Edgartown, Dukes, Massachusetts Bay, British Colonial America",41.3894198,-70.5129682,"Edgartown, Dukes County, Massachusetts, 02539, United States"
"Elmwood, Tuscalosa, Michigan",43.5847412,-83.2832836,"Elmwood Township, Tuscola County, Michigan, United States"
"Exeter, City of Exeter, Devon, England",50.7256138,-3.5269209,"Exeter, Devon, Devon and Torbay, England, United Kingdom"
"Fabius, Kenney Settlement, Onondaga, New York, USA",42.835067,-75.9860322,"Town of Fabius, Onondaga County, New York, United States"
"Falls Village, Litchfield, Connecticut, USA",41.747319,-73.1887243,"Litchfield, Northwest Hills Planning Region, Connecticut, United States"
"Farmington, Hartford County, Connecticut, USA",41.7198216,-72.8320435,"Farmington, Capitol Planning Region, Connecticut, United States"
"Farmington, Hartford County, CT",41.7198216,-72.8320435,"Farmington, Capitol Planning Region, Connecticut, United States"
"Farmington, Hartford, Connecticut, Colonial America",41.7198216,-72.8320435,"Farmington, Capitol Planning Region, Connecticut, United States"
"Farmington, Htfd, Connecticut, USA",41.7198216,-72.8320435,"Farmington, Capitol Planning Region, Connecticut, United States"
"Fishing Creek, Northumberland, Pennsylvania, USA",41.2140653,-76.3738755,"Fishing Creek, Waterville, Benton Township, Columbia County, Pennsylvania, 17814, United States"
"Flatbush, Long Island, New York, USA",40.6520481,-73.959027,"Flatbush, Brooklyn, Kings County, City of New York, New York, 11226, United States"
"Froyle, Hants., England",51.1870769,-0.9356479,"Froyle, Upper Froyle, East Hampshire, Hampshire, England, United Kingdom"
"Gagetown, Tuscalosa, Michigan",43.65724,-83.24495,"Gagetown, Tuscola County, Michigan, United States"
"Gallows Hill, Hartford, Colonial Connecticut, America",41.764582,-72.6908547,"Hartford, Capitol Planning Region, Connecticut, United States"
"Glastonbury, Hartford County, Connecticut, USA",41.7123218,-72.608146,"Glastonbury, Capitol Planning Region, Connecticut, United States"
"Gravehenge, , , Netherlands",52.0749456,4.2696802,"Den Haag, Zuid-Holland, Nederland"
"Gravesend, Long Island, New York",40.5961338,-73.9739426,"Gravesend, Brooklyn, Kings County, City of New York, New York, 11223, United States"
"Grayling Cra, Michigan",44.661517,-84.714637,"Grayling, Crawford County, Michigan, United States"
"Great Yarmouth Borough, Norfolk, England, United Kingdom",52.6119213,1.7206879,"Great Yarmouth, Lime Kiln Walk, Runham Vauxhall, Great Yarmouth, Norfolk, England, NR30 1JJ, United Kingdom"
"Greenport, Suffolk, British Colonial America, New York, USA",41.1032958,-72.3593093,"Village of Greenport, Town of Southold, Suffolk County, New York, 11944, United States"
"Grenville, Argenteuil, Canada East, Canada",45.6239736,-74.5993629,"Grenville, Argenteuil, Laurentides, Québec, J0V 1J0, Canada"
"Groton, New London County, Connecticut, United States of America",41.4915013,-72.1237666,"New London, Connecticut, 06382, United States"
"Haddam, Middlesex County, Connecticut, Britich Colonial America",41.4803384,-72.5160604,"Haddam, Lower Connecticut River Valley Planning Region, Connecticut, United States"
"Hadley, Hampshire County, Massachusetts British Colonial America;",42.3423259,-72.5891221,"Hadley, Hampshire County, Massachusetts, 01035, United States"
"Hadley, Hampshire, Massachusetts, Colonial America",42.3423259,-72.5891221,"Hadley, Hampshire County, Massachusetts, 01035, United States"
