Name,Value.lat,Value.lon,Value.address
"Piscataway, Middlesex New Jersey British Colony, America",40.5464326,-74.4660542,"Piscataway Township, Middlesex County, New Jersey, United States"
"Pomfret, Windham County, Connecticut",41.8975977,-71.9625736,"Pomfret, Northeastern Connecticut Planning Region, Connecticut, United States"
"Pontiac, Oak, Michigan, USA",42.6389216,-83.2910468,"Pontiac, Oakland County, Michigan, United States"
"Portsmouth, British Colonial America, Rhode Island, USA",41.6024068,-71.2503157,"Portsmouth, Newport County, Rhode Island, United States"
"Portsmouth, Newport, British Colonial America, Rhode Island, USA",41.6024068,-71.2503157,"Portsmouth, Newport County, Rhode Island, United States"
"Portsmouth, Rockingham County, New Hampshire, british colonies",43.0751306,-70.7601826,"Portsmouth, Rockingham County, New Hampshire, United States"
"Portsmouth, Rockingham, New Hampshire, British Colonial America",43.0751306,-70.7601826,"Portsmouth, Rockingham County, New Hampshire, United States"
"Preston City, New London, Connecticut, American Colonies",41.4915013,-72.1237666,"New London, Connecticut, 06382, United States"
"Providence, Providence County, Rhode Island, Colonial America",41.8239891,-71.4128343,"Providence, Providence County, Rhode Island, United States"
"Providence, Providence, Colony of Rhode Island and Providence Plantations",41.8239891,-71.4128343,"Providence, Providence County, Rhode Island, United States"
"Providence, Providence, Rhode Island, British Colonial America",41.8239891,-71.4128343,"Providence, Providence County, Rhode Island, United States"
"Raby, Durham, North Carolina, USA",54.5910607,-1.8017245,"Raby Castle, A688, Raby with Keverstone, Staindrop, County Durham, North East, England, DL2 3AF, United Kingdom"
"Raritan Landing, Somerset, New Jersey, United States",40.567181,-74.634683,"Raritan, Somerset County, New Jersey, 08869, United States"
"Rogers City, Iron, Michigan, USA",45.421391,-83.818185,"Rogers City, Presque Isle County, Michigan, 49779, United States"
"Rotherfield, Leicestershire, , England",51.5336152,-0.9884797,"Rotherfield Peppard, South Oxfordshire, Oxfordshire, England, United Kingdom"
"Rouen, Seine Inferieure, Normandy, France",49.4381934,1.0961695,"Ace Crédit Rouen, 4, Place de la Haute Vieille Tour, Vieux-Marché-Cathédrale, Quartier Vieux-Marché Cathédrale, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France"
"Rowley, Essex, Colonial Massachusetts",42.7136977,-70.8818364,"Rowley, Essex County, Massachusetts, 01969, United States"
"Rusper, Sussex Co, England",51.1210429,-0.2801661,"Rusper, Horsham, West Sussex, England, United Kingdom"
"Sacco, York, York, Maine, USA",43.5007555,-70.4429451,"Saco, York County, Maine, 04072, United States"
"Saco, Yorke, Maine, USA",43.5007555,-70.4429451,"Saco, York County, Maine, 04072, United States"
"Retford, Bassetlaw District, Nottinghamshire, England",53.1459288,-1.0214971,"Nottinghamshire, East Midlands, England, United Kingdom"
"Salem Massachusetts Bay Colony, Massachusetts, USA",42.5195292,-70.8967226,"Salem, Essex County, Massachusetts, 01970, United States"
"Saybrook twp, Middlesex County, Connecticut, USA",41.4514825,-72.4764321,"The Saybrook at Haddam, Tylerville, Haddam, Lower Connecticut River Valley Planning Region, Connecticut, United States"
"Saybrook, Middlesex County, Connecticut",41.4514825,-72.4764321,"The Saybrook at Haddam, Tylerville, Haddam, Lower Connecticut River Valley Planning Region, Connecticut, United States"
"Scarboro, York, Maine, United States",41.4514825,-72.4764321,"The Saybrook at Haddam, Tylerville, Haddam, Lower Connecticut River Valley Planning Region, Connecticut, United States"
"Scarborough, Cumberland, Maine, Colonial America",43.6005144,-70.3559673,"Scarborough, Cumberland County, Maine, 04074, United States"
"Sebwaing, Tuscola, Mich  USA",43.7323467,-83.4513398,"Sebewaing, Huron County, Michigan, United States"
"Sebwaing, Tuscola, Michigan, USA",43.7323467,-83.4513398,"Sebewaing, Huron County, Michigan, United States"
"Seneco Co., Ohio",41.1235018,-83.1278988,"Seneca County, Ohio, United States"
"Shalford, Braintree District, Essex, England",51.9246466,0.5003317,"Shalford, Braintree, Essex, England, United Kingdom"
"Sharon, Litchfield County, Connecticut, United States of America",41.747319,-73.1887243,"Litchfield, Northwest Hills Planning Region, Connecticut, United States"
"Rushden, East Northamptonshire Borough, Northamptonshire, England",52.3106138,-0.865913,"Northamptonshire, England, United Kingdom"
"South Canaan, Litchfield County, Connecticut, United States of America",41.747319,-73.1887243,"Litchfield, Northwest Hills Planning Region, Connecticut, United States"
"Southold (now West Mattituck), Suffolk County, Long Island, New York Colony",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Southold Twp, Suffolk, New York, USA",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Southold, Livingston, New York, United States",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Southold, Long Island, Suffolk County, New York, USA",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Southold, Long Island, Suffolk, New York Colony",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Southold, Suffold, New York, United States",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Southold, Suffolk County, Long Island, New York, USA",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Sibbertoft, Daventry District, Northamptonshire, England",52.3106138,-0.865913,"Northamptonshire, England, United Kingdom"
"Southold, Suffolk, British Colonial America, New York, USA",41.067221,-72.4408007,"Southold, Town of Southold, Suffolk County, New York, 11971, United States"
"Southwold, Middlesex, England",52.3260841,1.6793095,"Southwold, East Suffolk, Suffolk, England, United Kingdom"
"Southwold, Waveney District, Suffolk, England",52.3260841,1.6793095,"Southwold, East Suffolk, Suffolk, England, United Kingdom"
"St Albans, Hertfordshire, England Sudbury, Suffolk, England",51.753051,-0.3379675,"St Albans, Hertfordshire, England, United Kingdom"
"St Constant, La Prairie, Quebec, Canada",45.3724897,-73.5704589,"Saint-Constant, Roussillon, Montérégie, Québec, Canada"
"St Cosme De Vair, Orne, Perche, France",47.6831571,7.0624903,"Saint-Cosme, Altkirch, Haut-Rhin, Grand Est, France métropolitaine, 68210, France"
"St Cosme De Vair, Sarthe, Perche, France",47.6831571,7.0624903,"Saint-Cosme, Altkirch, Haut-Rhin, Grand Est, France métropolitaine, 68210, France"
"St Stevens, Ipswich, England, UK",52.0565539,1.1901501,"Stephen's Court, California, Ipswich, Suffolk, England, IP4 5JU, United Kingdom"
"St Philbert Du Mesnil Sous Junnieges, Rouen, Normandy, France",49.4452254,1.0913423,"Banque de France, 32, Rue Jean Lecanuet, Vieux-Marché-Cathédrale, Quartier Vieux-Marché Cathédrale, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France"
"Stonington, New London Co., Connecticut, USA",41.5187226,-72.0519409,"Stonington Estates, Norwich, Southeastern Connecticut Planning Region, Connecticut, United States"
"Stratford, Fairfield County, Connecticut",41.1923646,-73.1304917,"Stratford, Greater Bridgeport Planning Region, Connecticut, United States"
"Suffolk, Livingston, New York Colony OR NEW AMSTERDAM, NY",42.7913482,-77.8240969,"Suffolk Hall, 70, Red Jacket Drive, Village of Geneseo, Town of Geneseo, Livingston County, New York, 14454, United States"
"Sutton Cum Lound, Nottingham, Nottinghamshire, England",53.3554487,-0.9796692,"Sutton cum Lound Village Hall, Town Street, Sutton, Bassetlaw, Nottinghamshire, East Midlands, England, DN22 8PT, United Kingdom"
"Sutton-Cum-Lound, Nottingham, England",53.3554487,-0.9796692,"Sutton cum Lound Village Hall, Town Street, Sutton, Bassetlaw, Nottinghamshire, East Midlands, England, DN22 8PT, United Kingdom"
"Taunton, Bristol county, Massachusetts Bay Colony,  America",41.9019257,-71.0931485,"Taunton, Bristol County, Massachusetts, United States"
"Wakeshema, , Michigan, USA",42.114789,-85.35315,"Wakeshma Township, Kalamazoo County, Michigan, 49052, United States"
"Wallingford, New Haven, Connecticut, Amercian Colonies",41.4564233,-72.8239356,"Wallingford, South Central Connecticut Planning Region, Connecticut, 06492, United States"
"Warwick, Colony of Rhode Island and Providence Plantations, Warwickshire, England, United Kingdom",41.6992717,-71.4586114,"Warwick, Kent County, Rhode Island, United States"
"Warwick, Kent, American Colonies, Rhode Island, USA",41.6992717,-71.4586114,"Warwick, Kent County, Rhode Island, United States"
"Warwick, Kent, Rhode Island, British Colonial America",41.6992717,-71.4586114,"Warwick, Kent County, Rhode Island, United States"
"Warwick, Providence Plantations, Warwickshire, England, United Kingdom",41.6992717,-71.4586114,"Warwick, Kent County, Rhode Island, United States"
"Warwick, Providence, Rhode Island, British Colonial America",41.6992717,-71.4586114,"Warwick, Kent County, Rhode Island, United States"
"Wenatchee, Chelan Cty., Washington, USA",47.4234599,-120.310349,"Wenatchee, Chelan County, Washington, United States"
"Westerly, Kings, Rhode Island, USA",41.3775996,-71.8272911,"Westerly, South County, Rhode Island, United States"
"Westminster, Middlesex, , England",51.5004439,-0.1265398,"Westminster, Millbank, City of Westminster, Greater London, England, SW1P 3JX, United Kingdom"
"Wetherdfield, Hartford, Connecticut",41.7142665,-72.6525922,"Wethersfield, Capitol Planning Region, Connecticut, 06109, United States"
"Wethersfield, Hartford, Connecticut, Britich Colonial America",41.7142665,-72.6525922,"Wethersfield, Capitol Planning Region, Connecticut, 06109, United States"
"Woburn, Mddsx, Massachusetts, USA",42.4792618,-71.1522766,"Woburn, Middlesex County, Massachusetts, 01801, United States"
"Woburn, Middlesex, Massachusetts, Colonial America",42.4792618,-71.1522766,"Woburn, Middlesex County, Massachusetts, 01801, United States"
"Oberkirchen, Preußen, Germany",49.5267777,7.2590378,"Oberkirchen, Freisen, Landkreis St. Wendel, Saarland, 66629, Deutschland"
"Oberkirchen, Sankt Wendel, Rhein, Preußen, Deutschland",49.5267777,7.2590378,"Oberkirchen, Freisen, Landkreis St. Wendel, Saarland, 66629, Deutschland"
"Repentigny (La Purification de Bienheureuse vierge Marie), Québec, Canada",45.7326055,-73.4528307,"Repentigny, L'Assomption (MRC), Lanaudière, Québec, Canada"
"Saint-Roch-de-I’Achigan, L’Assumption, Quebec, Canada",45.8987205,-73.6430067,"Rivière Saint-Esprit, Saint-Esprit, Montcalm, Lanaudière, Québec, Canada"
